price,manufacturer,color,had_accident,resold,automatic_transmission
2200,renault,white,0,1,0
179200,toyota,white,0,1,1
29200,bmd,white,0,1,0
45200,ford,black,1,0,1
40200,bmd,white,0,0,1
115200,bmd,black,1,1,1
76200,toyota,black,1,0,1
3200,ford,white,1,0,1
74200,renault,red,1,1,1
105200,ford,white,0,0,1
79200,bmd,white,0,0,1
106200,ford,white,0,1,1
83200,ford,white,0,1,1
128200,renault,white,1,1,1
40200,bmd,white,0,1,1
20200,bmd,white,0,1,1
45200,ford,white,1,0,1
8200,ford,white,1,1,1
60200,renault,black,1,0,1
51200,renault,red,0,1,0
57200,renault,white,0,1,1
137200,ford,black,0,1,1
112200,toyota,white,0,1,1
63200,ford,white,0,1,0
27200,bmd,white,0,1,1
142200,volvo,white,1,1,0
104200,ford,white,0,1,1
79200,renault,red,1,1,1
130200,renault,white,0,1,1
66200,ford,white,0,1,1
92200,ford,red,1,1,1
9200,renault,red,1,0,1
25200,renault,white,1,1,0
5200,bmd,black,0,1,0
129200,ford,red,0,0,1
5200,bmd,red,0,1,1
13200,renault,white,1,1,0
65200,renault,white,1,1,1
55200,ford,white,1,1,1
54200,renault,white,0,1,0
70200,bmd,white,1,1,1
5200,renault,white,1,0,1
32200,renault,white,1,1,1
132200,renault,black,1,0,1
127200,renault,white,1,1,1
6200,ford,white,1,1,0
35200,ford,black,1,1,1
122200,bmd,white,1,1,1
29200,renault,white,0,1,0
46200,renault,white,0,1,1
6200,bmd,white,0,1,1
62200,bmd,white,0,1,1
50200,bmd,white,0,1,0
9200,renault,white,1,1,1
34200,bmd,black,0,1,1
64200,renault,red,1,1,1
27200,renault,red,1,0,1
119200,volvo,white,1,1,1
53200,renault,white,1,1,1
45200,renault,white,1,1,1
126200,bmd,white,1,1,1
89200,ford,white,0,1,1
33200,renault,white,1,0,1
15200,bmd,white,0,1,1
96200,bmd,white,1,0,1
65200,volvo,black,0,1,1
58200,bmd,white,0,1,1
60200,bmd,black,1,1,1
70200,renault,white,0,0,1
21200,renault,white,0,1,0
24200,ford,white,1,1,1
8200,bmd,white,0,1,0
20200,renault,white,1,1,1
8200,renault,white,1,1,1
84200,ford,white,0,1,1
10200,ford,red,1,1,1
47200,bmd,white,1,0,1
111200,ford,red,0,1,1
98200,ford,white,0,1,1
51200,renault,white,1,1,0
39200,ford,black,1,1,1
253200,ford,red,0,0,1
88200,renault,white,0,1,1
86200,renault,red,0,0,1
42200,volvo,white,0,0,1
49200,bmd,white,0,1,1
98200,renault,white,1,1,0
29200,renault,white,0,1,1
66200,ford,red,0,1,1
76200,renault,black,0,1,1
42200,renault,white,0,1,0
45200,bmd,red,0,1,1
92200,volvo,black,0,1,0
47200,ford,white,1,0,1
108200,toyota,white,1,1,1
74200,bmd,white,1,1,1
35200,bmd,white,0,1,1
48200,renault,white,0,1,1
98200,renault,black,1,0,1
41200,renault,black,0,0,1
97200,renault,white,0,1,0
85200,bmd,red,1,0,1
54200,bmd,white,0,0,1
10200,bmd,red,0,1,1
66200,renault,white,0,1,1
199200,volvo,black,1,1,0
7200,renault,white,1,0,1
105200,bmd,white,1,0,1
173200,renault,black,0,1,1
66200,bmd,red,0,1,1
136200,bmd,white,1,1,1
63200,renault,white,1,1,1
101200,ford,white,0,1,1
56200,renault,white,1,1,1
12200,renault,white,0,1,1
88200,renault,white,1,0,1
203200,bmd,white,1,1,1
22200,toyota,black,1,1,1
9200,renault,white,1,0,1
242200,ford,white,0,1,1
170200,bmd,white,1,1,0
55200,bmd,black,1,1,1
168200,ford,white,0,1,1
205200,ford,white,0,1,1
64200,renault,white,0,1,1
136200,renault,white,0,0,1
92200,renault,white,0,1,1
37200,ford,white,1,0,1
26200,bmd,white,0,0,0
75200,renault,red,1,0,1
3200,renault,white,0,0,1
6200,renault,black,0,1,1
72200,renault,white,0,1,0
59200,ford,white,1,1,1
13200,renault,white,1,1,1
17200,ford,red,1,1,1
3200,bmd,red,0,1,1
1200,renault,white,1,1,1
56200,renault,white,1,1,1
119200,renault,white,0,1,1
16200,bmd,black,0,1,1
55200,ford,red,1,1,1
31200,renault,white,0,0,1
5200,renault,red,1,1,0
70200,toyota,white,1,1,1
116200,ford,red,0,1,1
75200,bmd,white,1,1,1
61200,renault,black,0,1,1
108200,bmd,white,0,1,0
38200,renault,black,0,1,1
18200,renault,red,1,1,0
66200,renault,white,1,1,1
66200,bmd,red,0,1,1
91200,ford,black,1,1,1
49200,ford,black,0,1,0
13200,bmd,white,0,0,1
15200,ford,white,1,0,1
73200,ford,red,0,1,1
74200,ford,red,1,1,1
98200,ford,black,0,0,1
53200,renault,white,1,0,1
102200,bmd,white,1,1,1
11200,renault,white,1,1,1
184200,ford,white,0,1,1
52200,renault,white,1,1,1
53200,renault,black,0,0,0
51200,renault,white,0,1,1
72200,renault,white,1,1,1
194200,bmd,white,1,1,1
24200,renault,white,0,1,1
57200,ford,black,1,0,1
8200,renault,black,1,0,1
80200,ford,white,0,1,1
59200,bmd,white,0,1,1
4200,renault,black,1,1,1
150200,toyota,black,0,1,1
204200,volvo,white,1,1,1
100200,ford,white,0,1,1
148200,ford,red,0,1,1
22200,renault,white,0,1,1
56200,ford,white,1,1,1
93200,bmd,white,1,1,1
23200,ford,red,1,0,1
62200,bmd,white,1,1,1
151200,renault,white,1,1,1
55200,bmd,white,0,0,1
18200,renault,white,0,0,1
58200,ford,white,1,1,1
22200,renault,white,0,0,0
36200,volvo,white,0,0,1
20200,renault,white,1,0,0
12200,bmd,white,0,0,1
108200,bmd,white,1,1,1
50200,ford,black,1,1,1
28200,renault,white,0,0,1
125200,renault,red,1,1,1
38200,renault,white,1,1,1
112200,toyota,white,1,1,1
85200,bmd,red,1,1,0
53200,bmd,white,0,1,1
47200,renault,white,0,1,1
37200,renault,white,1,1,1
9200,bmd,black,0,1,1
55200,renault,white,1,1,0
111200,renault,white,0,0,1
8200,bmd,red,0,1,1
13200,renault,white,0,1,1
30200,renault,white,1,1,1
120200,renault,white,0,0,0
12200,renault,black,1,1,1
165200,ford,red,0,0,1
68200,renault,white,1,1,1
213200,toyota,white,0,0,1
49200,bmd,white,0,0,0
13200,bmd,black,0,1,1
141200,renault,white,0,1,1
54200,bmd,white,0,1,0
114200,renault,black,0,1,1
155200,renault,red,1,1,1
41200,renault,white,1,0,1
80200,bmd,white,1,1,1
1200,renault,white,1,0,1
97200,renault,white,1,1,1
1200,ford,white,1,0,1
72200,renault,white,1,1,0
19200,bmd,white,0,1,1
18200,renault,red,0,1,0
82200,renault,white,0,1,1
20200,renault,red,0,1,1
96200,bmd,white,1,1,1
10200,bmd,black,0,1,1
157200,renault,white,1,0,1
227200,toyota,red,0,0,0
1200,renault,white,1,1,1
12200,renault,white,1,1,1
58200,renault,red,0,0,1
139200,ford,white,0,1,0
75200,ford,black,1,0,1
105200,renault,white,1,1,0
4200,renault,black,1,0,1
116200,ford,white,0,1,1
65200,ford,red,0,1,1
114200,renault,white,0,1,1
24200,renault,red,0,1,1
33200,renault,white,0,1,1
20200,ford,white,1,1,1
33200,ford,white,1,0,1
100200,bmd,red,0,1,0
37200,renault,white,1,1,1
121200,bmd,white,1,1,1
21200,renault,white,0,0,1
5200,ford,black,1,1,1
47200,renault,red,1,1,1
83200,bmd,white,1,1,1
26200,renault,white,0,0,1
20200,renault,white,1,0,1
19200,bmd,black,0,0,1
150200,volvo,red,1,1,1
94200,renault,white,0,0,1
17200,bmd,white,0,1,1
15200,bmd,white,0,1,1
13200,renault,white,0,1,1
25200,renault,white,1,1,0
81200,renault,red,0,1,0
102200,renault,white,1,0,1
33200,ford,white,1,1,1
35200,renault,white,0,1,1
18200,renault,white,1,1,1
173200,ford,white,0,1,1
52200,renault,red,0,0,1
181200,bmd,red,1,1,1
39200,renault,white,0,1,0
64200,renault,white,1,1,1
57200,renault,red,0,1,0
109200,bmd,white,0,1,1
75200,volvo,white,0,1,1
2200,ford,white,1,1,1
24200,renault,black,1,0,0
98200,renault,white,1,0,0
84200,renault,white,1,0,1
84200,bmd,red,1,1,1
69200,bmd,white,1,1,1
137200,bmd,white,1,0,1
75200,renault,white,0,1,1
149200,renault,black,0,0,1
121200,bmd,white,1,0,1
48200,ford,white,1,1,1
67200,bmd,black,0,1,0
67200,renault,white,1,1,1
39200,renault,white,1,1,1
40200,renault,red,0,1,1
97200,ford,white,0,1,0
81200,ford,black,1,1,0
70200,ford,red,0,1,1
83200,renault,black,1,0,1
23200,renault,white,0,1,1
238200,bmd,white,1,0,1
57200,renault,white,0,1,1
133200,ford,black,0,1,1
136200,ford,red,0,0,1
29200,renault,white,0,1,0
45200,renault,white,1,1,1
40200,renault,white,0,1,1
72200,renault,red,0,1,1
5200,bmd,white,0,1,1
5200,bmd,white,0,1,1
7200,renault,red,0,1,1
54200,ford,black,0,0,0
92200,volvo,black,0,0,1
26200,bmd,white,0,1,1
20200,renault,white,1,1,1
107200,volvo,white,0,1,1
17200,renault,red,1,0,1
27200,bmd,white,0,1,0
75200,toyota,white,1,0,0
112200,bmd,white,1,1,1
7200,renault,white,0,1,1
27200,ford,white,1,0,1
111200,volvo,white,0,1,1
6200,bmd,black,0,1,1
36200,renault,white,1,1,0
84200,ford,white,0,1,1
38200,ford,white,1,1,1
92200,renault,white,1,1,1
67200,volvo,white,0,1,1
141200,renault,white,1,1,1
178200,ford,white,0,1,1
132200,bmd,white,1,1,1
74200,renault,white,0,0,1
212200,ford,red,0,1,1
105200,bmd,white,1,0,1
95200,renault,white,1,1,0
46200,bmd,white,0,1,0
36200,bmd,black,1,1,1
108200,ford,white,1,1,1
21200,renault,white,0,1,1
22200,renault,red,0,0,0
52200,renault,white,0,1,0
165200,ford,white,0,1,1
15200,renault,red,0,1,1
107200,bmd,red,1,1,1
17200,bmd,white,0,1,1
34200,renault,white,1,1,0
27200,renault,black,1,1,1
42200,bmd,red,0,1,1
40200,renault,black,0,1,1
243200,renault,red,0,1,1
141200,bmd,white,1,1,1
57200,bmd,white,1,0,1
29200,toyota,white,1,1,0
33200,bmd,white,0,1,0
8200,renault,white,1,1,0
58200,renault,white,1,1,1
23200,bmd,white,0,0,1
51200,bmd,white,0,0,1
163200,bmd,white,1,1,1
46200,renault,white,0,1,1
40200,renault,white,0,1,1
100200,renault,red,1,1,1
150200,renault,red,1,1,1
59200,bmd,red,0,1,1
76200,bmd,black,1,1,0
18200,ford,red,1,1,1
155200,ford,white,0,1,1
149200,ford,white,0,1,1
52200,bmd,white,0,1,1
51200,bmd,white,0,1,1
80200,bmd,red,0,0,1
74200,renault,red,0,1,1
165200,bmd,white,1,1,1
10200,ford,white,1,0,1
46200,ford,red,1,0,1
15200,ford,white,1,0,1
5200,renault,white,0,1,1
61200,renault,white,0,1,1
110200,renault,white,0,0,1
31200,ford,white,1,1,1
87200,bmd,white,0,1,1
100200,renault,white,1,1,1
166200,ford,white,0,1,1
171200,toyota,white,0,1,0
144200,toyota,black,1,1,1
70200,ford,white,0,0,0
44200,ford,white,1,1,1
109200,volvo,white,0,1,1
129200,renault,white,0,1,1
82200,bmd,red,1,1,1
163200,ford,white,0,0,1
122200,ford,white,0,1,1
30200,ford,red,1,1,0
15200,renault,white,1,1,1
60200,volvo,white,0,1,1
111200,bmd,white,0,0,1
59200,bmd,white,0,1,1
95200,renault,white,0,1,1
134200,renault,black,1,1,0
112200,ford,white,0,1,1
85200,bmd,white,1,1,1
156200,renault,white,0,1,1
27200,renault,white,1,1,1
22200,renault,black,1,1,0
40200,renault,white,0,1,1
36200,renault,white,0,1,1
100200,renault,white,0,0,0
96200,ford,white,0,1,1
33200,renault,black,1,1,1
54200,ford,black,1,1,1
84200,bmd,black,0,1,1
12200,bmd,white,0,1,1
68200,renault,red,0,1,0
36200,ford,white,1,0,1
86200,renault,white,1,1,1
24200,renault,white,0,1,1
46200,ford,black,1,0,0
141200,bmd,white,1,0,0
24200,renault,white,1,1,0
85200,ford,white,1,1,1
94200,renault,red,0,1,1
4200,renault,white,1,0,0
27200,bmd,white,0,1,1
138200,renault,white,1,0,1
28200,bmd,white,0,1,1
150200,ford,white,1,1,1
11200,renault,white,0,1,1
172200,bmd,red,1,0,1
52200,renault,white,0,1,0
59200,ford,white,0,0,1
41200,renault,red,0,1,1
114200,renault,black,1,0,1
109200,bmd,white,0,1,0
93200,renault,white,1,1,1
7200,bmd,white,0,1,0
215200,bmd,white,1,0,1
18200,renault,white,0,1,1
1200,renault,white,0,1,1
116200,renault,white,0,1,1
80200,toyota,white,1,1,1
181200,toyota,white,0,1,1
4200,bmd,white,0,1,1
71200,bmd,white,0,1,1
61200,renault,white,1,1,1
3200,bmd,white,0,1,0
88200,renault,black,1,0,1
11200,renault,white,1,0,1
99200,bmd,black,1,1,1
29200,renault,black,0,1,1
101200,renault,black,1,1,0
67200,bmd,white,0,1,0
21200,renault,red,0,1,1
55200,ford,white,1,1,1
8200,ford,white,1,0,1
65200,bmd,white,1,1,1
62200,renault,white,1,1,0
141200,ford,white,0,1,1
35200,renault,white,0,1,1
70200,renault,white,0,1,0
66200,bmd,white,0,1,1
16200,renault,black,0,1,1
139200,renault,black,1,1,1
127200,bmd,white,1,0,1
43200,renault,black,0,1,0
75200,renault,white,1,1,1
147200,bmd,white,1,1,1
105200,ford,red,0,1,1
33200,renault,white,1,1,1
79200,toyota,white,1,1,1
118200,renault,white,0,1,1
138200,renault,white,1,1,1
17200,renault,white,1,1,1
9200,bmd,white,0,1,1
10200,renault,black,1,0,1
169200,volvo,red,1,1,0
98200,ford,white,0,0,1
50200,renault,red,1,1,1
73200,toyota,white,1,1,1
194200,bmd,white,1,1,1
20200,bmd,red,0,1,0
13200,renault,white,0,0,0
84200,renault,white,1,1,1
81200,ford,white,0,0,1
68200,bmd,white,1,1,1
103200,ford,white,0,1,1
32200,renault,red,1,1,0
120200,bmd,white,1,0,1
86200,bmd,white,1,0,1
51200,renault,white,0,0,0
160200,toyota,white,0,1,1
134200,renault,white,0,1,1
64200,ford,white,1,0,1
26200,ford,red,1,1,1
123200,renault,white,0,1,1
3200,ford,red,1,1,1
11200,bmd,white,0,0,1
15200,renault,white,0,1,1
39200,ford,white,1,1,1
39200,bmd,white,0,0,0
60200,renault,white,1,1,1
121200,bmd,white,1,1,1
13200,renault,white,1,1,1
293200,volvo,black,1,1,1
142200,volvo,white,1,1,0
112200,renault,black,1,0,1
26200,renault,red,0,1,0
42200,renault,white,1,1,1
137200,renault,white,0,1,1
17200,renault,white,1,1,1
82200,ford,white,0,1,1
82200,bmd,black,1,1,1
65200,renault,red,0,1,1
7200,renault,white,1,1,1
68200,bmd,red,0,0,1
30200,bmd,white,0,0,0
19200,renault,red,1,0,0
3200,bmd,white,0,1,1
61200,renault,white,0,0,1
79200,renault,black,0,1,1
32200,renault,white,1,1,0
97200,bmd,white,0,1,1
70200,ford,white,1,1,1
10200,renault,white,0,0,1
84200,ford,red,0,0,1
7200,ford,white,1,1,1
70200,ford,red,1,1,1
56200,renault,white,0,1,0
132200,renault,red,1,1,1
23200,renault,white,0,1,1
332200,volvo,white,1,1,1
101200,renault,black,0,1,1
57200,renault,white,0,1,1
5200,renault,white,0,0,1
179200,volvo,white,1,1,1
21200,ford,white,1,1,1
33200,renault,white,0,1,1
168200,renault,white,0,1,1
9200,renault,white,0,1,1
82200,renault,white,0,1,0
132200,ford,red,0,1,1
30200,renault,red,1,1,1
49200,renault,white,1,0,0
139200,ford,white,0,1,1
3200,renault,white,1,1,1
144200,bmd,red,1,0,0
145200,renault,white,0,1,1
88200,renault,black,0,1,1
86200,renault,red,1,1,1
1200,renault,red,0,0,1
96200,renault,red,1,1,1
85200,renault,white,0,1,1
74200,bmd,white,1,1,1
312200,volvo,black,1,1,1
13200,renault,white,0,0,1
27200,renault,white,0,0,1
8200,renault,black,1,0,0
29200,volvo,white,0,1,1
74200,ford,white,0,1,1
97200,renault,red,1,1,1
47200,ford,red,1,0,1
67200,renault,white,1,1,1
19200,bmd,black,0,0,1
15200,ford,white,1,1,1
155200,volvo,red,1,1,1
79200,renault,white,1,0,1
40200,renault,black,0,1,1
134200,ford,white,0,1,0
57200,renault,red,0,1,1
64200,renault,white,1,1,1
19200,volvo,white,0,1,1
71200,ford,white,1,0,1
84200,ford,white,0,1,1
126200,bmd,white,1,1,1
16200,renault,red,0,1,1
40200,renault,white,0,0,1
24200,volvo,white,0,0,1
80200,renault,red,1,1,1
100200,renault,white,1,1,1
89200,bmd,white,1,1,1
31200,bmd,white,0,1,1
81200,renault,white,0,1,1
80200,ford,black,1,1,1
14200,bmd,white,0,1,1
17200,bmd,white,0,1,1
60200,renault,white,0,0,1
3200,volvo,white,0,1,1
132200,ford,white,0,0,1
152200,ford,white,0,1,0
46200,renault,red,0,0,1
20200,bmd,white,0,0,1
98200,ford,white,1,1,1
112200,ford,white,0,1,1
64200,bmd,white,0,1,1
106200,renault,white,1,1,1
12200,renault,white,0,0,1
1200,ford,red,1,1,1
55200,renault,red,1,0,1
76200,bmd,white,1,1,1
109200,renault,white,0,1,0
65200,bmd,white,1,0,1
43200,renault,white,0,1,1
110200,ford,white,0,1,1
126200,bmd,red,1,1,1
7200,renault,white,1,1,0
25200,bmd,white,0,1,0
78200,renault,black,1,0,1
67200,renault,white,1,0,0
150200,toyota,white,0,1,0
36200,ford,white,1,1,1
14200,renault,black,1,1,1
136200,renault,white,0,0,1
63200,renault,black,1,1,1
102200,ford,white,0,1,1
41200,bmd,red,0,0,1
84200,bmd,white,1,1,1
9200,ford,red,1,1,1
83200,renault,white,0,1,1
82200,renault,white,1,1,1
47200,renault,white,0,1,1
53200,bmd,white,0,0,1
2200,ford,white,1,1,1
15200,ford,white,1,1,0
129200,ford,red,0,0,1
8200,renault,white,1,0,1
39200,renault,black,0,1,1
110200,ford,white,0,1,1
236200,volvo,white,1,0,1
40200,ford,white,1,1,1
11200,bmd,white,0,1,1
77200,renault,white,1,0,1
130200,renault,white,1,1,1
24200,renault,white,1,1,1
17200,renault,white,1,1,1
47200,renault,white,0,0,1
30200,renault,black,0,0,1
69200,renault,white,1,1,0
36200,bmd,white,0,1,1
18200,bmd,red,0,1,1
127200,renault,white,0,1,1
4200,renault,red,1,1,1
210200,volvo,white,1,1,1
47200,ford,white,1,1,1
53200,ford,red,1,1,1
150200,bmd,white,1,1,0
35200,ford,white,0,1,1
111200,toyota,white,0,1,1
39200,renault,white,1,1,0
54200,renault,red,1,1,1
74200,volvo,white,0,1,1
138200,bmd,white,1,1,1
3200,renault,white,0,1,1
58200,renault,white,1,1,1
37200,renault,white,1,1,1
21200,renault,white,0,1,1
76200,bmd,white,1,0,1
154200,bmd,red,1,1,1
204200,renault,white,1,1,0
10200,renault,black,0,1,1
115200,bmd,white,1,1,1
25200,bmd,white,0,1,1
64200,renault,black,0,1,1
90200,renault,red,1,1,1
107200,ford,white,0,0,1
69200,renault,red,1,1,1
48200,renault,white,1,1,1
184200,renault,white,1,1,1
52200,renault,black,0,1,1
118200,ford,white,0,0,1
30200,renault,white,1,1,1
38200,ford,red,1,0,1
34200,renault,black,1,1,1
122200,renault,white,1,1,0
51200,bmd,black,0,1,1
82200,bmd,red,1,1,0
62200,ford,white,1,1,1
13200,bmd,white,0,1,1
31200,renault,white,1,0,1
10200,ford,white,1,0,1
61200,bmd,red,0,1,1
3200,renault,black,0,1,1
12200,ford,white,1,1,1
131200,bmd,white,1,1,1
61200,bmd,white,1,1,0
50200,renault,white,0,0,1
165200,renault,red,0,1,0
81200,renault,white,1,0,1
16200,renault,white,0,1,1
73200,bmd,black,1,1,1
90200,bmd,white,1,1,0
81200,ford,white,1,0,1
228200,toyota,white,0,1,1
58200,bmd,white,1,1,1
26200,renault,red,0,1,1
28200,renault,white,1,1,1
55200,ford,black,1,0,1
62200,toyota,black,1,1,1
52200,bmd,white,0,1,1
142200,bmd,black,1,1,1
56200,renault,white,0,1,1
91200,ford,white,0,0,1
3200,bmd,white,0,0,1
150200,renault,white,0,0,1
27200,bmd,red,1,1,1
5200,renault,white,0,0,1
2200,bmd,white,0,0,1
51200,ford,black,1,1,1
23200,renault,red,0,1,0
26200,renault,white,1,0,1
113200,renault,white,1,1,1
5200,ford,black,1,1,1
175200,bmd,white,1,1,0
118200,ford,red,0,1,1
130200,renault,white,1,1,0
51200,ford,white,1,1,1
179200,ford,white,0,0,1
50200,renault,white,0,1,0
1200,renault,black,0,0,1
63200,renault,white,0,0,1
25200,renault,white,1,1,1
39200,ford,white,1,1,1
103200,renault,black,0,1,1
112200,bmd,red,1,1,0
69200,ford,white,0,0,1
122200,toyota,black,0,1,0
110200,renault,white,0,1,1
86200,renault,black,1,0,0
76200,bmd,red,1,1,1
81200,bmd,red,0,1,1
167200,renault,black,1,1,1
5200,renault,white,1,0,1
14200,bmd,white,0,1,0
34200,ford,white,1,1,0
26200,bmd,white,0,1,1
58200,ford,white,0,1,1
59200,bmd,white,1,1,1
7200,ford,red,1,1,0
19200,renault,white,0,0,1
82200,renault,white,1,1,1
52200,renault,white,1,1,1
132200,bmd,white,1,1,1
87200,ford,white,0,1,1
4200,renault,black,0,1,0
157200,bmd,white,1,1,1
27200,renault,red,0,1,1
69200,renault,white,1,1,1
33200,bmd,black,0,1,1
73200,ford,white,1,1,1
15200,bmd,white,0,0,1
45200,renault,white,0,1,1
24200,ford,white,1,1,1
153200,renault,black,1,1,1
63200,ford,red,1,1,1
131200,bmd,white,1,1,1
73200,ford,black,1,1,1
81200,bmd,white,1,1,1
50200,bmd,white,0,0,1
47200,renault,white,1,1,1
